,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,1,1,0,0,400,1,3,67,Squb3cw.bmp,S1,1718281773.144031,1718281773.5926666,left,"[['left', 3369.2697141]]",1718281775.2033563,1718281774.5032296,None,None,None,1718281775.2123322,0.0,None
1,1,1,1,1,0,400,1,1,65,Squa7cw.bmp,S3,1718281775.823943,1718281776.2745802,left,"[['right', 3371.4376717999994]]",1718281777.882278,1718281777.1821518,None,None,None,1718281777.8942459,0.0,None
2,1,1,2,0,0,450,1,4,68,sque7cw.bmp,I4,1718281778.502879,1718281778.9961226,right,"[['right', 3374.2196396]]",1718281780.6157882,1718281779.915662,None,None,None,1718281780.6277564,0.0,None
3,1,2,2,0,0,500,2,52,180,octf4cw.bmp,I3,1718281781.236364,1718281781.7844741,right,"[['right', 3377.1246316999996]]",1718281783.3961613,1718281782.696035,None,None,None,1718281783.4051373,0.0,None
4,1,1,1,1,1,500,1,7,71,squf6cw.bmp,S2,1718281784.015493,1718281784.5659006,left,,1718281786.174619,1718281785.4744692,1718281786.1845691,"[['lalt', 3383.0586887]]",1718281788.543225,1718281789.0543644,0.0,None
5,1,2,2,0,0,550,2,52,180,octa4cw.bmp,I1,1718281789.673938,1718281790.276767,right,"[['right', 3385.7246223]]",1718281791.8879519,1718281791.1883278,None,None,None,1718281791.8969254,0.0,None
6,1,1,1,1,0,600,1,1,65,Squa8cw.bmp,S4,1718281792.5065577,1718281793.1574492,left,"[['right', 3388.5856284]]",1718281794.7659082,1718281794.0660179,None,None,None,1718281794.7748847,0.0,None
7,1,1,1,1,0,550,1,1,65,sque3cw.bmp,S5,1718281795.3824916,1718281795.9806645,left,"[['left', 3391.8726087999994]]",1718281797.5923517,1718281796.8922253,None,None,None,1718281797.601328,1.0,None
8,1,1,2,1,0,500,1,2,66,squf3cw.bmp,I2,1718281798.2115252,1718281798.7619176,right,"[['right', 3394.2716044999997]]",1718281800.369616,1718281799.6694891,None,None,None,1718281800.379589,1.0,None
9,1,2,1,0,1,400,2,57,185,octe7cw.bmp,S5,1718281800.9880342,1718281801.4305685,left,"[['right', 3396.7426018999995]]",1718281803.0392635,1718281802.339137,1718281803.049237,"[['lalt', 3399.5826214999997]]",1718281805.0667272,1718281805.580651,0.0,None
10,1,1,2,1,0,400,1,2,66,Squa6cw.bmp,I5,1718281806.189267,1718281806.6362383,right,"[['left', 3402.0345834]]",1718281808.2549067,1718281807.5547805,None,None,None,1718281808.2668746,0.0,None
11,1,2,2,0,0,500,2,52,180,octb3.bmp,I2,1718281808.8754718,1718281809.421841,right,"[['right', 3404.3725764]]",1718281811.0325305,1718281810.3324041,None,None,None,1718281811.0405092,0.0,None
12,1,2,1,1,0,500,2,53,181,octb6.bmp,S1,1718281811.6521075,1718281812.1942835,left,"[['left', 3407.3425670999995]]",1718281813.8059704,1718281813.1058445,None,None,None,1718281813.8139493,1.0,None
13,1,2,2,1,0,550,2,54,182,octb1.bmp,I4,1718281814.4235601,1718281815.0281706,right,"[['right', 3410.2145801999995]]",1718281816.63886,1718281815.9387338,None,None,None,1718281816.6478364,1.0,None
14,1,1,1,1,1,550,1,7,71,Squd2cw.bmp,S2,1718281817.2594333,1718281817.8636518,left,,1718281819.475339,1718281818.7752123,1718281819.484315,"[['lalt', 3415.0714582]]",1718281820.5554485,1718281821.06534,0.0,None
15,1,1,2,1,0,550,1,2,66,squf1cw.bmp,I5,1718281821.6776414,1718281822.2706506,right,"[['right', 3417.7845540999997]]",1718281823.8813403,1718281823.1812139,None,None,None,1718281823.8903162,1.0,None
16,1,2,1,0,1,550,2,57,185,octe5cw.bmp,S4,1718281824.49993,1718281825.0991194,left,"[['left', 3420.9285157999993]]",1718281826.7078142,1718281826.0086854,1718281826.7177877,"[['lalt', 3422.2374905999995]]",1718281827.721103,1718281828.2346704,0.0,None
17,1,1,2,1,0,400,1,2,66,Squd6cw.bmp,I1,1718281828.8433065,1718281829.288703,right,"[['right', 3424.8745351999996]]",1718281830.90039,1718281830.2002637,None,None,None,1718281830.9093664,1.0,None
18,1,2,2,0,0,550,2,52,180,octd7cw.bmp,I3,1718281831.5209656,1718281832.113205,right,"[['right', 3427.7235191]]",1718281833.7232943,1718281833.0227711,None,None,None,1718281833.7312727,0.0,None
19,1,2,1,0,0,550,2,51,179,octe2cw.bmp,S3,1718281834.3409936,1718281834.9354434,left,"[['left', 3430.4845179999993]]",1718281836.5441616,1718281835.844012,None,None,None,1718281836.5561066,0.0,None
20,1,2,1,0,1,450,2,57,185,octa8cw.bmp,S4,1718281837.1647367,1718281837.6590674,left,"[['left', 3433.1545617]]",1718281839.2681048,1718281838.567636,1718281839.2783475,"[['lalt', 3434.6275381999994]]",1718281840.1116345,1718281840.6252022,0.0,None
