,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,1,0,0,550,1,3,67,octe6cw.bmp,J4,1716882594.3192778,1716882594.9362462,left,"[['left', 2936.9177347000004]]",1716882596.5479121,1716882595.847809,None,None,None,1716882596.5567667,0.0,None
1,1,1,2,0,0,550,2,52,180,Squd7cw.bmp,I5,1716882597.1673512,1716882597.7699637,right,"[['right', 2939.6997402999996]]",1716882599.381652,1716882598.6825225,None,None,None,1716882599.3906283,0.0,None
2,1,1,1,0,0,450,2,51,179,squf7cw.bmp,J1,1716882600.0022352,1716882600.5017471,left,"[['left', 2942.6057431]]",1716882602.1094692,1716882601.4093194,None,None,None,1716882602.120417,0.0,None
3,1,2,1,1,0,450,1,1,65,octb1.bmp,J5,1716882602.729032,1716882603.2269688,left,,1716882604.8386574,1716882604.1385303,None,None,None,1716882604.846636,0.0,None
4,1,2,2,1,1,400,1,8,72,octa1cw.bmp,I2,1716882605.4569547,1716882605.9066126,right,"[['right', 2947.5567291999996]]",1716882607.5153093,1716882606.8151824,1716882607.5252829,"[['lalt', 2952.6046771]]",1716882611.5475225,1716882612.0616612,1.0,None
5,1,2,2,0,0,500,1,4,68,octd3cw.bmp,I4,1716882612.6706662,1716882613.2276552,right,,1716882614.8353567,1716882614.136227,None,None,None,1716882614.8473246,0.0,None
6,1,1,1,0,0,500,2,51,179,squf5cw.bmp,J3,1716882615.455962,1716882616.0072978,left,"[['left', 2957.4487123999997]]",1716882617.6169915,1716882616.9168644,None,None,None,1716882617.635941,0.0,None
7,1,1,1,1,0,600,2,53,181,Squb4cw.bmp,J2,1716882618.247571,1716882618.8974817,left,"[['left', 2960.4317469]]",1716882620.5061781,1716882619.8060513,None,None,None,1716882620.5181463,1.0,None
8,1,2,2,1,0,600,1,2,66,octf8cw.bmp,I1,1716882621.1275458,1716882621.7748568,right,"[['right', 2963.3957155999997]]",1716882623.386545,1716882622.6864183,None,None,None,1716882623.3945239,1.0,None
9,1,1,2,0,1,400,2,58,186,Squd6cw.bmp,I3,1716882624.0055091,1716882624.455131,right,"[['right', 2966.2007040999997]]",1716882626.0638275,1716882625.3637004,1716882626.073801,"[['lctrl', 2968.970682]]",1716882627.9138787,1716882628.4259753,0.0,None
10,1,2,1,1,0,600,1,1,65,octb4.bmp,J1,1716882629.03461,1716882629.6776998,left,"[['left', 2971.1677053000003]]",1716882631.2963696,1716882630.5962427,None,None,None,1716882631.308338,1.0,None
11,1,2,2,1,0,450,1,2,66,octf6cw.bmp,I1,1716882631.9169543,1716882632.4138715,right,"[['right', 2973.9196893999997]]",1716882634.0325415,1716882633.3324144,None,None,None,1716882634.0445096,1.0,None
12,1,1,2,0,0,500,2,52,180,Squa8cw.bmp,I2,1716882634.653117,1716882635.1979144,right,"[['right', 2976.8127041]]",1716882636.8066106,1716882636.1064837,None,None,None,1716882636.8155868,0.0,None
13,1,2,1,1,0,550,1,1,65,octa2cw.bmp,J3,1716882637.4244769,1716882638.0166492,left,"[['left', 2979.6056688999997]]",1716882639.6253457,1716882638.9252188,None,None,None,1716882639.635319,1.0,None
14,1,2,1,1,1,550,1,7,71,octa6cw.bmp,J4,1716882640.2543683,1716882640.8500361,left,"[['left', 2982.4286811]]",1716882642.4587326,1716882641.7586055,1716882642.4697034,"[['lctrl', 2985.2486387999998]]",1716882644.1918528,1716882644.7051363,1.0,None
15,1,2,2,0,0,400,1,4,68,octb3.bmp,I4,1716882645.3137805,1716882645.756475,right,"[['right', 2987.360665]]",1716882647.376142,1716882646.6760151,None,None,None,1716882647.3881102,0.0,None
16,1,1,2,1,0,400,2,54,182,Squa4cw.bmp,I3,1716882647.9967241,1716882648.4433012,right,"[['right', 2990.0596635]]",1716882650.0539923,1716882649.3538651,None,None,None,1716882650.061971,1.0,None
17,1,2,1,1,0,550,1,1,65,octf4cw.bmp,J5,1716882650.6746984,1716882651.266442,left,"[['left', 2992.8546604000003]]",1716882652.8781304,1716882652.1780035,None,None,None,1716882652.886109,1.0,None
18,1,2,1,1,0,600,1,1,65,octf3cw.bmp,J2,1716882653.495713,1716882654.1373172,left,"[['left', 2995.7276634]]",1716882655.7470107,1716882655.0468838,None,None,None,1716882655.7559867,1.0,None
19,1,1,2,0,1,500,2,58,186,squf4cw.bmp,I5,1716882656.3655884,1716882656.9069426,right,"[['right', 2998.556662]]",1716882658.5166364,1716882657.8165095,1716882658.5365832,"[['lctrl', 3001.6886538]]",1716882660.6320345,1716882661.1421885,0.0,None
20,1,2,2,1,0,500,1,2,66,octd7cw.bmp,I1,1716882661.7525277,1716882662.2941577,right,"[['right', 3003.8986514]]",1716882663.9037435,1716882663.2046118,None,None,None,1716882663.9126966,1.0,None
21,1,2,1,1,0,400,1,1,65,octb5.bmp,J1,1716882664.5219443,1716882664.9635844,left,"[['left', 3006.4906483000004]]",1716882666.573278,1716882665.873151,None,None,None,1716882666.581257,1.0,None
22,1,1,1,1,0,400,2,53,181,Squb6cw.bmp,J2,1716882667.1915162,1716882667.6399887,left,"[['left', 3009.0916478]]",1716882669.2496824,1716882668.5495555,None,None,None,1716882669.2586586,1.0,None
23,1,2,2,0,0,550,1,4,68,octe4cw.bmp,I3,1716882669.8672721,1716882670.4599874,right,"[['right', 3011.912649]]",1716882672.0796545,1716882671.3795273,None,None,None,1716882672.0916224,0.0,None
24,1,2,1,1,1,600,1,7,71,octa5cw.bmp,J3,1716882672.7004688,1716882673.344447,left,"[['left', 3014.8586713000004]]",1716882674.9541407,1716882674.254014,1716882674.9641027,"[['lctrl', 3018.0396076999996]]",1716882676.9827127,1716882677.496335,1.0,None
25,1,1,1,1,0,550,2,53,181,Squd3cw.bmp,J5,1716882678.1051815,1716882678.6999102,left,"[['left', 3020.2056242999997]]",1716882680.3086064,1716882679.6084795,None,None,None,1716882680.3175826,1.0,None
26,1,2,2,1,1,550,1,8,72,octa3cw.bmp,I4,1716882680.9262161,1716882681.5184758,right,"[['right', 3022.9846458]]",1716882683.1271725,1716882682.4270453,1716882683.1371458,"[['lctrl', 3025.7385919]]",1716882684.6818058,1716882685.192652,1.0,None
27,1,2,2,1,0,400,1,2,66,octd2cw.bmp,I5,1716882685.8042598,1716882686.253948,right,"[['right', 3027.7446491]]",1716882687.8626442,1716882687.1625173,None,None,None,1716882687.873615,1.0,None
28,1,1,1,0,1,550,2,57,185,sque5cw.bmp,J4,1716882688.4825156,1716882689.079445,left,"[['left', 3030.4885826]]",1716882690.6911335,1716882689.992004,1716882690.7001095,"[['lctrl', 3033.0315822000002]]",1716882691.9747927,1716882692.4844267,0.0,None
29,1,1,1,0,0,500,2,51,179,Squd1cw.bmp,J5,1716882693.0948882,1716882693.6351874,left,"[['left', 3035.1596183]]",1716882695.245434,1716882694.5463028,None,None,None,1716882695.254411,0.0,None
30,1,1,2,0,1,450,2,58,186,squf8cw.bmp,I2,1716882695.8640249,1716882696.3666003,right,"[['right', 3037.8355844]]",1716882697.9782887,1716882697.279159,1716882697.987987,"[['lctrl', 3040.4475555]]",1716882699.3902395,1716882699.9004853,0.0,None
31,1,2,2,0,0,600,1,4,68,octd5cw.bmp,I2,1716882700.5090885,1716882701.1513743,right,"[['right', 3042.7246004999997]]",1716882702.7710414,1716882702.0709143,None,None,None,1716882702.7830093,0.0,None
32,1,1,1,0,0,600,2,51,179,Squd2cw.bmp,J1,1716882703.3915575,1716882704.0367782,left,"[['left', 3045.5966016]]",1716882705.645475,1716882704.9453478,None,None,None,1716882705.6554484,0.0,None
33,1,2,1,1,1,450,1,7,71,octb2cw.bmp,J3,1716882706.275025,1716882706.772851,left,"[['left', 3048.3075939]]",1716882708.3815484,1716882707.6814206,1716882708.3905234,"[['lctrl', 3050.1535708]]",1716882709.0966349,1716882709.6082613,1.0,None
34,1,2,2,1,0,550,1,2,66,octd8cw.bmp,I5,1716882710.216785,1716882710.809723,right,"[['right', 3052.3736396000004]]",1716882712.4292037,1716882711.7290766,None,None,None,1716882712.4411716,1.0,None
35,1,1,2,0,0,450,2,52,180,Squd5cw.bmp,I4,1716882713.049789,1716882713.543851,right,"[['right', 3055.1375908]]",1716882715.1525474,1716882714.4524207,None,None,None,1716882715.162521,0.0,None
36,1,2,1,0,0,450,1,3,67,octb7.bmp,J4,1716882715.7711508,1716882716.2638242,left,"[['left', 3057.8815551]]",1716882717.8715231,1716882717.1723936,None,None,None,1716882717.8814967,0.0,None
