,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,1,1,0,450,1,1,65,octa7cw.bmp,S1,1712670401.9322996,1712670402.4327903,left,"[['left', 179.1577044000005]]",1712670404.0499053,1712670403.3497784,None,None,None,1712670404.0668592,1.0,None
1,1,2,1,0,0,550,1,3,67,octf3cw.bmp,S2,1712670404.6844409,1712670405.2846105,left,"[['left', 182.0177134000005]]",1712670406.902281,1712670406.2021577,None,None,None,1712670406.919236,0.0,None
2,1,2,2,0,0,600,1,4,68,octa4cw.bmp,I1,1712670407.5368133,1712670408.1877472,right,"[['right', 184.86270440000226]]",1712670409.8044212,1712670409.104295,None,None,None,1712670409.821376,0.0,None
3,1,1,2,0,0,500,2,52,180,Squb1cw.bmp,I3,1712670410.4389555,1712670410.9899569,right,"[['left', 187.6208738000023]]",1712670412.6066303,1712670411.9065042,None,None,None,1712670412.6235852,0.0,None
4,1,1,1,0,1,550,2,57,185,squf3cw.bmp,S5,1712670413.2410326,1712670413.8415372,left,"[['left', 190.61268770000243]]",1712670415.4592085,1712670414.759082,1712670415.4761631,"[['delete', 225.1076592999998]]",1712670449.101295,1712670449.6240456,0.0,None
5,1,1,2,0,0,400,2,52,180,sque2cw.bmp,I4,1712670450.2380502,1712670450.6875548,right,"[['right', 227.7636287000023]]",1712670452.3052256,1712670451.6050994,None,None,None,1712670452.3221805,0.0,None
6,1,2,2,0,0,450,1,4,68,octa5cw.bmp,I5,1712670452.9397721,1712670453.4403908,right,"[['right', 230.1475825000016]]",1712670455.0570648,1712670454.3579357,None,None,None,1712670455.0750167,0.0,None
7,1,2,1,1,0,550,1,1,65,octe2cw.bmp,S3,1712670455.6916103,1712670456.2928984,left,"[['left', 232.95456639999975]]",1712670457.909572,1712670457.2094457,None,None,None,1712670457.927524,1.0,None
8,1,2,2,1,0,600,1,2,66,octe7cw.bmp,I2,1712670458.5440855,1712670459.1965811,right,"[['right', 235.83059960000173]]",1712670460.8117552,1712670460.112626,None,None,None,1712670460.8297071,1.0,None
9,1,1,1,0,1,500,2,57,185,sque3cw.bmp,S4,1712670461.446292,1712670461.9969897,left,"[['left', 238.9455667000002]]",1712670463.6146836,1712670462.9145343,1712670463.6316154,"[['pagedown', 241.6695995000009]]",1712670465.6631806,1712670466.1842165,0.0,None
10,1,1,1,1,0,600,2,53,181,Squa4cw.bmp,S2,1712670466.800831,1712670467.4513462,left,"[['left', 244.2215572999994]]",1712670469.0690174,1712670468.3688908,None,None,None,1712670469.0859723,1.0,None
