,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,1,0,0,450,1,3,67,octe7cw.bmp,J3,1716811349.6345122,1716811350.1551907,left,,1716811351.7668812,1716811351.066759,None,None,None,1716811351.7748604,0.0,None
1,1,2,1,1,0,450,1,1,65,octa2cw.bmp,J4,1716811352.3857403,1716811352.8859136,left,,1716811354.4946883,1716811353.795556,None,None,None,1716811354.5046644,0.0,None
2,1,1,2,0,0,450,2,52,180,Squa4cw.bmp,M1,1716811355.1142104,1716811355.607199,right,,1716811357.2258682,1716811356.5257428,None,None,None,1716811357.2378366,0.0,None
3,1,1,2,0,0,450,2,52,180,Squa2cw.bmp,M5,1716811357.8467216,1716811358.346427,right,"[['right', 4517.306059]]",1716811359.9572973,1716811359.2581668,None,None,None,1716811359.9662738,0.0,None
4,1,1,1,0,1,450,2,57,185,Squb1cw.bmp,J2,1716811360.5762799,1716811361.0761666,left,"[['left', 4519.8950868]]",1716811362.6848626,1716811361.984736,1716811362.6955986,"[['lalt', 4553.520154]]",1716811395.4458091,1716811395.9748216,0.0,None
5,1,2,1,0,0,400,1,3,67,octd3cw.bmp,J5,1716811396.5876899,1716811397.0405197,left,"[['left', 4555.3959889]]",1716811398.6512105,1716811397.9510837,None,None,None,1716811398.660645,0.0,None
6,1,1,2,0,1,400,2,58,186,Squb5cw.bmp,M2,1716811399.2720327,1716811399.7244213,right,"[['right', 4558.3359732]]",1716811401.3321278,1716811400.6329985,1716811401.3430986,"[['lalt', 4562.8049697999995]]",1716811404.7307696,1716811405.2445424,0.0,None
7,1,2,1,1,0,500,1,1,65,octe4cw.bmp,J1,1716811405.8534334,1716811406.4028823,left,"[['left', 4564.961983499999]]",1716811408.013685,1716811407.3135564,None,None,None,1716811408.0226588,1.0,None
8,1,1,1,0,0,600,2,51,179,sque2cw.bmp,J1,1716811408.632524,1716811409.2800364,left,"[['left', 4567.9469219]]",1716811410.8892915,1716811410.1891625,None,None,None,1716811410.9006922,0.0,None
9,1,2,2,1,0,550,1,2,66,octf7cw.bmp,M3,1716811411.5098488,1716811412.107546,right,"[['right', 4570.7639727999995]]",1716811413.7191858,1716811413.0190578,None,None,None,1716811413.7271657,1.0,None
10,1,1,1,1,0,450,2,53,181,Squd4cw.bmp,J3,1716811414.337268,1716811414.8287458,left,"[['left', 4573.4789605999995]]",1716811416.4381425,1716811415.7380173,None,None,None,1716811416.4471183,1.0,None
11,1,2,1,1,1,600,1,7,71,octe6cw.bmp,J4,1716811417.0564585,1716811417.7044783,left,"[['left', 4576.3439554999995]]",1716811419.3134284,1716811418.6132996,1716811419.3243995,"[['lctrl', 4591.0149289]]",1716811432.9412127,1716811433.4525907,1.0,None
12,1,2,2,1,0,600,1,2,66,octb3.bmp,M4,1716811434.0611978,1716811434.7089543,right,"[['right', 4593.4309557]]",1716811436.3196876,1716811435.6205554,None,None,None,1716811436.3286667,1.0,None
13,1,1,1,1,0,600,2,53,181,sque5cw.bmp,J2,1716811436.9385386,1716811437.5915892,left,"[['left', 4596.0779511]]",1716811439.204177,1716811438.5040486,None,None,None,1716811439.2121553,1.0,None
14,1,1,2,0,0,500,2,52,180,squf8cw.bmp,M3,1716811439.823152,1716811440.377591,right,"[['right', 4598.9549062]]",1716811441.9900212,1716811441.289894,None,None,None,1716811441.9980001,0.0,None
15,1,1,2,0,0,600,2,52,180,Squa1cw.bmp,M2,1716811442.6088848,1716811443.2625778,right,"[['right', 4602.0539342]]",1716811444.8742657,1716811444.1741388,None,None,None,1716811444.883242,0.0,None
16,1,2,1,1,1,400,1,7,71,octa5cw.bmp,J5,1716811445.4951053,1716811445.9451697,left,"[['left', 4604.6229354]]",1716811447.5533988,1716811446.8532436,1716811447.5633438,"[['lctrl', 4607.694919]]",1716811449.620588,1716811450.132511,1.0,None
17,1,2,2,0,0,600,1,4,68,octa7cw.bmp,M4,1716811450.7413876,1716811451.384044,right,"[['right', 4610.2449033]]",1716811452.991743,1716811452.291616,None,None,None,1716811453.002079,0.0,None
18,1,1,2,1,0,550,2,54,182,sque8cw.bmp,M1,1716811453.6104524,1716811454.2053246,right,"[['right', 4612.9168798]]",1716811455.8170128,1716811455.116886,None,None,None,1716811455.825198,1.0,None
19,1,1,1,0,0,550,2,51,179,squf5cw.bmp,J1,1716811456.4368074,1716811457.0324662,left,"[['left', 4615.8298852]]",1716811458.640488,1716811457.9413562,None,None,None,1716811458.6524563,0.0,None
20,1,2,2,1,0,450,1,2,66,octf2cw.bmp,M5,1716811459.261423,1716811459.756154,right,"[['right', 4618.8809003999995]]",1716811461.3641248,1716811460.6647234,None,None,None,1716811461.3750958,1.0,None
21,1,2,1,1,1,550,1,7,71,octe1cw.bmp,J4,1716811461.9839802,1716811462.5783958,left,"[['left', 4621.242886399999]]",1716811464.190084,1716811463.4899573,1716811464.1990604,"[['lctrl', 4625.8278455]]",1716811467.7535632,1716811468.2646418,1.0,None
22,1,2,2,0,0,500,1,4,68,octb6.bmp,M1,1716811468.8832252,1716811469.452299,right,"[['right', 4628.1648427]]",1716811471.0629895,1716811470.3638563,None,None,None,1716811471.0719626,0.0,None
23,1,1,1,0,0,600,2,51,179,Squd5cw.bmp,J3,1716811471.6825628,1716811472.3248682,left,"[['left', 4631.0159004]]",1716811473.93494,1716811473.2348168,None,None,None,1716811473.9429183,0.0,None
24,1,2,1,1,0,600,1,1,65,octf8cw.bmp,J5,1716811474.5527823,1716811475.1984723,left,"[['left', 4633.8848731]]",1716811476.8075728,1716811476.1074405,None,None,None,1716811476.8185441,1.0,None
25,1,2,2,1,0,600,1,2,66,octa6cw.bmp,M3,1716811477.426789,1716811478.0714395,right,"[['right', 4636.823861299999]]",1716811479.680102,1716811478.9799721,None,None,None,1716811479.6900725,1.0,None
26,1,2,2,1,1,500,1,8,72,octb8.bmp,M5,1716811480.2989564,1716811480.8419182,right,"[['left', 4639.9168509]]",1716811482.4607763,1716811481.7606547,1716811482.4727454,"[['lalt', 4641.888765799999]]",1716811483.8141608,1716811484.3267503,0.0,None
27,1,1,1,0,0,500,2,51,179,Squa3cw.bmp,J2,1716811484.93568,1716811485.4806838,left,"[['left', 4644.1528207]]",1716811487.092372,1716811486.3922453,None,None,None,1716811487.100992,0.0,None
28,1,2,1,1,1,450,1,7,71,octf4cw.bmp,J4,1716811487.7120376,1716811488.203541,left,"[['left', 4646.8838278]]",1716811489.8136127,1716811489.1134837,1716811489.8225896,"[['lctrl', 4649.7427987]]",1716811491.6686285,1716811492.182519,1.0,None
29,1,1,2,0,0,400,2,52,180,Squb2cw.bmp,M2,1716811492.7914119,1716811493.2343175,right,"[['right', 4651.9278095]]",1716811494.8430135,1716811494.1428869,None,None,None,1716811494.8521166,0.0,None
30,1,1,2,0,0,400,2,52,180,squf1cw.bmp,M4,1716811495.460553,1716811495.903155,right,"[['right', 4654.6259085]]",1716811497.5118513,1716811496.8117247,None,None,None,1716811497.5208032,0.0,None
31,1,2,1,1,0,400,1,1,65,octd1cw.bmp,J2,1716811498.1290345,1716811498.5726607,left,"[['left', 4657.2268173]]",1716811500.1917174,1716811499.4915926,None,None,None,1716811500.2036853,1.0,None
32,1,2,1,0,0,600,1,3,67,octb1.bmp,J1,1716811500.8117301,1716811501.457,left,"[['left', 4660.0328811]]",1716811503.06613,1716811502.3660028,None,None,None,1716811503.0751052,0.0,None
33,1,1,2,0,1,600,2,58,186,sque3cw.bmp,M3,1716811503.683104,1716811504.3284829,right,"[['right', 4663.061821]]",1716811505.940171,1716811505.2410414,1716811505.9495678,"[['lctrl', 4666.300771]]",1716811508.2264762,1716811508.7370846,0.0,None
34,1,2,1,0,0,500,1,3,67,octb5.bmp,J3,1716811509.3466895,1716811509.8886952,left,"[['left', 4668.4807929]]",1716811511.4987073,1716811510.7985775,None,None,None,1716811511.5066853,0.0,None
35,1,1,2,0,1,550,2,58,186,Squd2cw.bmp,M1,1716811512.1165671,1716811512.7115018,right,"[['right', 4671.3738197]]",1716811514.32059,1716811513.620461,1716811514.3325598,"[['lctrl', 4675.6357589]]",1716811517.5609214,1716811518.071317,0.0,None
36,1,1,1,0,0,400,2,51,179,sque7cw.bmp,J5,1716811518.690184,1716811519.1371229,left,"[['left', 4677.7557962]]",1716811520.7449667,1716811520.0458372,None,None,None,1716811520.7559133,0.0,None
