,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,1,0,0,400,2,51,179,octe4cw.bmp,J1,1718870932.145935,1718870932.6088552,left,"[['left', 2490.3310816999997]]",1718870934.2205458,1718870933.5214155,None,None,None,1718870934.229522,0.0,None
1,1,1,1,1,0,600,1,1,65,Squa3cw.bmp,J4,1718870934.8402302,1718870935.4904153,left,,1718870937.0991392,1718870936.398986,None,None,None,1718870937.1090875,0.0,None
2,1,1,2,0,0,550,1,4,68,sque5cw.bmp,S1,1718870937.7177045,1718870938.3154945,right,"[['right', 2495.8730352]]",1718870939.9261882,1718870939.22606,None,None,None,1718870939.9351642,0.0,None
3,1,1,1,1,0,500,1,1,65,Squa4cw.bmp,J5,1718870940.5447962,1718870941.0964665,left,"[['left', 2498.7380580000004]]",1718870942.7041676,1718870942.0050373,None,None,None,1718870942.7141411,1.0,None
4,1,2,2,0,1,400,2,58,186,octd2cw.bmp,S4,1718870943.3224494,1718870943.7692933,right,"[['right', 2501.5330351999996]]",1718870945.381007,1718870944.680856,1718870945.3899603,"[['lctrl', 2504.8199517999997]]",1718870947.911219,1718870948.4223595,0.0,None
5,1,2,1,1,0,400,2,53,181,octf2cw.bmp,J2,1718870949.0339959,1718870949.48794,left,"[['left', 2507.2230144]]",1718870951.0976408,1718870950.397513,None,None,None,1718870951.1066177,1.0,None
6,1,2,1,0,0,500,2,51,179,octa1cw.bmp,J3,1718870951.7182133,1718870952.2712173,left,"[['left', 2509.8430298]]",1718870953.8799179,1718870953.1797898,None,None,None,1718870953.8888936,0.0,None
7,1,1,2,1,0,550,1,2,66,squf4cw.bmp,S2,1718870954.4975011,1718870955.0958257,right,"[['right', 2512.6810566999998]]",1718870956.706519,1718870956.0073884,None,None,None,1718870956.715495,1.0,None
8,1,1,2,0,0,500,1,4,68,Squa8cw.bmp,S3,1718870957.325688,1718870957.8770196,right,"[['right', 2515.5500157]]",1718870959.4966888,1718870958.7965612,None,None,None,1718870959.5086572,0.0,None
9,1,1,1,1,1,400,1,7,71,sque2cw.bmp,J1,1718870960.1172886,1718870960.561394,left,"[['left', 2518.0910668]]",1718870962.169099,1718870961.4689674,1718870962.1790729,"[['lctrl', 2519.9090291999996]]",1718870963.0008485,1718870963.512973,1.0,None
10,1,2,1,0,0,550,2,51,179,octf4cw.bmp,J3,1718870964.1215882,1718870964.7157779,left,"[['left', 2522.4220124999997]]",1718870966.33445,1718870965.6343222,None,None,None,1718870966.3464181,0.0,None
11,1,2,2,0,0,500,2,52,180,octa5cw.bmp,S5,1718870966.9550247,1718870967.5057151,right,"[['right', 2525.3370454]]",1718870969.117243,1718870968.417278,None,None,None,1718870969.1262918,0.0,None
12,1,2,1,0,0,600,2,51,179,octd3cw.bmp,J4,1718870969.735897,1718870970.3769736,left,"[['left', 2527.9600138]]",1718870971.9866693,1718870971.2865415,None,None,None,1718870971.9956458,0.0,None
13,1,1,1,0,0,450,1,3,67,Squa2cw.bmp,J2,1718870972.6042545,1718870973.0961988,left,"[['left', 2530.8680130999996]]",1718870974.705895,1718870974.0057669,None,None,None,1718870974.7248442,0.0,None
