,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,2,0,0,450,1,4,68,octd8cw.bmp,M4,1718016459.083431,1718016459.5790305,right,"[['right', 3181.2501644000004]]",1718016461.187578,1718016460.487426,None,None,None,1718016461.198525,0.0,None
1,1,2,2,1,0,550,1,2,66,octe5cw.bmp,M1,1718016461.8068843,1718016462.3974037,right,"[['right', 3183.6091278000004]]",1718016464.0061026,1718016463.3059745,None,None,None,1718016464.0180707,1.0,None
2,1,1,1,1,0,400,2,53,181,squf2cw.bmp,J4,1718016464.62669,1718016465.067853,left,"[['left', 3186.2451149000008]]",1718016466.675557,1718016465.9754288,None,None,None,1718016466.6865273,1.0,None
3,1,1,1,0,0,450,2,51,179,sque3cw.bmp,J3,1718016467.2951229,1718016467.7866392,left,"[['left', 3188.8560990999995]]",1718016469.3943388,1718016468.6942105,None,None,None,1718016469.4053097,0.0,None
4,1,1,2,0,1,500,2,58,186,Squd6cw.bmp,M2,1718016470.013918,1718016470.554448,right,"[['right', 3191.4970833000007]]",1718016472.163147,1718016471.4630187,1718016472.1751153,"[['lctrl', 3194.8251397999993]]",1718016474.359965,1718016474.8725836,0.0,None
5,1,2,1,1,0,550,1,1,65,octd5cw.bmp,J2,1718016475.481228,1718016476.0782895,left,"[['left', 3197.3671273]]",1718016477.6869884,1718016476.9868603,None,None,None,1718016477.6959646,1.0,None
6,1,1,1,1,0,550,2,53,181,squf4cw.bmp,J5,1718016478.3045933,1718016478.897116,left,"[['left', 3200.1321272000005]]",1718016480.5058148,1718016479.8056867,None,None,None,1718016480.5157883,1.0,None
7,1,1,2,0,0,500,2,52,180,Squa5cw.bmp,M3,1718016481.1353586,1718016481.6748056,right,"[['right', 3202.956119299999]]",1718016483.2835047,1718016482.5833766,None,None,None,1718016483.3034515,0.0,None
8,1,1,2,0,0,400,2,52,180,Squb2cw.bmp,M5,1718016483.9150486,1718016484.3536026,right,"[['right', 3205.6131124999993]]",1718016485.964296,1718016485.2641683,None,None,None,1718016485.9738963,0.0,None
9,1,2,1,1,1,400,1,7,71,octa3cw.bmp,J1,1718016486.5854952,1718016487.0220242,left,"[['left', 3208.0421294000007]]",1718016488.6347125,1718016487.9345846,1718016488.643689,"[['lctrl', 3210.6380910000007]]",1718016490.1729786,1718016490.6861842,1.0,None
10,1,1,1,0,0,600,2,51,179,Squa1cw.bmp,J3,1718016491.2951083,1718016491.9326854,left,"[['left', 3213.1991297999994]]",1718016493.5423815,1718016492.8422537,None,None,None,1718016493.5613313,0.0,None
11,1,2,2,1,0,400,1,2,66,octa8cw.bmp,M4,1718016494.1729572,1718016494.615484,right,"[['right', 3215.7551982000005]]",1718016496.2261775,1718016495.527047,None,None,None,1718016496.235154,1.0,None
12,1,2,2,0,0,400,1,4,68,octb5.bmp,M5,1718016496.8447537,1718016497.2815988,right,"[['right', 3218.5721424999992]]",1718016498.8932898,1718016498.1931617,None,None,None,1718016498.902266,0.0,None
13,1,1,1,0,1,400,2,57,185,sque7cw.bmp,J4,1718016499.5136976,1718016499.9502459,left,"[['left', 3221.0711493]]",1718016501.5619369,1718016500.8618088,1718016501.570913,"[['lctrl', 3223.0300664999995]]",1718016502.5642574,1718016503.085856,0.0,None
14,1,1,1,0,0,450,2,51,179,Squa8cw.bmp,J2,1718016503.6974514,1718016504.184983,left,"[['left', 3225.8761240000003]]",1718016505.8036535,1718016505.104523,None,None,None,1718016505.8156235,0.0,None
