,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,2,0,0,600,1,4,68,octd8cw.bmp,M2,1715847509.5260727,1715847510.169638,right,"[['right', 4861.3108792]]",1715847511.7733476,1715847511.0732217,None,None,None,1715847511.777336,0.0,None
1,1,1,2,0,0,550,2,52,180,Squd4cw.bmp,M1,1715847512.3809566,1715847512.9915752,right,"[['right', 4864.195885200001]]",1715847514.5962825,1715847513.8961554,None,None,None,1715847514.6002705,0.0,None
2,1,2,1,0,0,500,1,3,67,octe1cw.bmp,J3,1715847515.20414,1715847515.7412083,left,"[['right', 4867.428874900001]]",1715847517.3449442,1715847516.644791,None,None,None,1715847517.3494341,0.0,None
3,1,2,2,0,0,400,1,4,68,octb4.bmp,M5,1715847517.9530058,1715847518.3966343,right,"[['left', 4869.637906]]",1715847520.0004601,1715847519.3013089,None,None,None,1715847520.0054245,0.0,None
4,1,2,2,1,1,500,1,8,72,octe2cw.bmp,M3,1715847520.6090713,1715847521.151535,right,"[['left', 4872.1448675]]",1715847522.7562656,1715847522.0561147,1715847522.761228,"[['lctrl', 4875.5548945]]",1715847525.2096767,1715847525.7152667,0.0,None
5,1,1,1,0,0,550,2,51,179,squf4cw.bmp,J5,1715847526.318887,1715847526.9166818,left,"[['left', 4877.985848]]",1715847528.5213878,1715847527.8212614,None,None,None,1715847528.5253773,0.0,None
6,1,2,1,1,0,450,1,1,65,octa7cw.bmp,J1,1715847529.1293721,1715847529.6217797,left,"[['right', 4880.7828541]]",1715847531.2254887,1715847530.5263593,None,None,None,1715847531.2304754,0.0,None
7,1,2,2,1,0,550,1,2,66,octb7.bmp,M4,1715847531.8345582,1715847532.4304972,right,,1715847534.0342062,1715847533.3340797,None,None,None,1715847534.0391932,0.0,None
8,1,2,1,1,0,550,1,1,65,octa6cw.bmp,J4,1715847534.6428132,1715847535.252164,left,"[['right', 4886.137825700001]]",1715847536.8568702,1715847536.1567435,None,None,None,1715847536.8608596,0.0,None
9,1,1,2,0,1,400,2,58,186,squf6cw.bmp,M2,1715847537.4644818,1715847537.902116,right,"[['right', 4888.8428369]]",1715847539.505853,1715847538.8056984,1715847539.5098145,"[['lalt', 4892.0378288]]",1715847541.6932333,1715847542.1998248,0.0,None
10,1,2,2,0,0,550,1,4,68,octe4cw.bmp,M3,1715847542.8043673,1715847543.3925283,right,"[['right', 4894.633855200001]]",1715847544.996238,1715847544.296111,None,None,None,1715847545.0002263,0.0,None
11,1,2,1,1,0,400,1,1,65,octa5cw.bmp,J2,1715847545.6038706,1715847546.0490537,left,"[['left', 4896.902829500001]]",1715847547.65376,1715847546.9536335,None,None,None,1715847547.6577494,1.0,None
12,1,2,1,0,0,400,1,3,67,octd5cw.bmp,J2,1715847548.2615688,1715847548.6977587,left,"[['left', 4899.5647891]]",1715847550.302465,1715847549.6023383,None,None,None,1715847550.3064544,0.0,None
13,1,1,2,0,1,550,2,58,186,Squd1cw.bmp,M1,1715847550.9100704,1715847551.4985518,right,"[['right', 4902.3698818]]",1715847553.1022606,1715847552.402134,1715847553.1072474,"[['lalt', 4905.0637926]]",1715847554.7189586,1715847555.225229,0.0,None
14,1,2,2,1,0,550,1,2,66,octb6.bmp,M5,1715847555.8288484,1715847556.4168005,right,"[['right', 4907.369799200001]]",1715847558.0215297,1715847557.3213804,None,None,None,1715847558.0254962,1.0,None
15,1,1,1,1,0,550,2,53,181,Squa4cw.bmp,J3,1715847558.6291137,1715847559.216671,left,"[['left', 4910.1488607]]",1715847560.8209445,1715847560.1208181,None,None,None,1715847560.8249342,1.0,None
16,1,2,1,0,0,550,1,3,67,octe5cw.bmp,J4,1715847561.4291623,1715847562.0193436,left,"[['left', 4913.1698408]]",1715847563.6230526,1715847562.9229262,None,None,None,1715847563.627042,0.0,None
17,1,1,2,0,1,450,2,58,186,sque5cw.bmp,M4,1715847564.2306626,1715847564.7219667,right,"[['right', 4915.6167995000005]]",1715847566.3263123,1715847565.6261857,1715847566.3312993,"[['lctrl', 4917.4647832]]",1715847567.1201901,1715847567.626055,0.0,None
18,1,2,1,1,0,450,1,1,65,octe6cw.bmp,J1,1715847568.2296731,1715847568.716427,left,"[['left', 4919.683774]]",1715847570.3201358,1715847569.6210065,None,None,None,1715847570.325123,1.0,None
19,1,1,2,1,0,550,2,54,182,sque6cw.bmp,M4,1715847570.9287176,1715847571.5164297,right,"[['right', 4922.5527763]]",1715847573.1201384,1715847572.420012,None,None,None,1715847573.1251254,1.0,None
20,1,1,1,0,1,600,2,57,185,Squb5cw.bmp,J5,1715847573.7287464,1715847574.366528,left,"[['left', 4925.377807]]",1715847575.9707065,1715847575.2715833,1715847575.975693,"[['lctrl', 4926.9858175]]",1715847576.640914,1715847577.146896,0.0,None
21,1,1,1,0,0,550,2,51,179,sque2cw.bmp,J4,1715847577.7505245,1715847578.3379996,left,"[['left', 4929.2078178]]",1715847579.9427059,1715847579.2425795,None,None,None,1715847579.9466953,0.0,None
22,1,2,2,1,0,600,1,2,66,octf3cw.bmp,M1,1715847580.550296,1715847581.1919134,right,"[['right', 4932.0157768]]",1715847582.79662,1715847582.0964932,None,None,None,1715847582.8006094,1.0,None
23,1,1,1,0,0,500,2,51,179,sque3cw.bmp,J3,1715847583.4042401,1715847583.9407756,left,"[['left', 4934.806761100001]]",1715847585.5454843,1715847584.8453546,None,None,None,1715847585.5494728,0.0,None
24,1,1,2,0,0,600,2,52,180,Squd7cw.bmp,M3,1715847586.153088,1715847586.789938,right,"[['right', 4937.6477593]]",1715847588.393647,1715847587.6935203,None,None,None,1715847588.3976364,0.0,None
25,1,2,2,1,1,550,1,8,72,octd3cw.bmp,M2,1715847589.0012841,1715847589.590429,right,"[['right', 4940.5737731]]",1715847591.1951356,1715847590.495009,1715847591.2001224,"[['lalt', 4942.279710100001]]",1715847591.9351559,1715847592.4411159,1.0,None
26,1,2,1,1,0,500,1,1,65,octf2cw.bmp,J2,1715847593.0447464,1715847593.582435,left,"[['left', 4944.6237534]]",1715847595.1861382,1715847594.4870088,None,None,None,1715847595.1901283,1.0,None
