,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,1,0,0,600,2,51,179,octd1cw.bmp,J5,1714142495.724916,1714142496.3688304,left,"[['left', 333.3621221000003]]",1714142497.9755354,1714142497.275407,None,None,None,1714142497.982517,0.0,None
1,1,2,1,0,0,400,2,51,179,octa7cw.bmp,J2,1714142498.5891368,1714142499.0341291,left,"[['left', 335.60609230000045]]",1714142500.6408343,1714142499.9407058,None,None,None,1714142500.648813,0.0,None
2,1,2,2,1,0,500,2,54,182,octd7cw.bmp,I2,1714142501.2554328,1714142501.798768,right,"[['right', 338.5891150000007]]",1714142503.4054732,1714142502.7053447,None,None,None,1714142503.4144495,1.0,None
3,1,1,1,1,0,450,1,1,65,Squa5cw.bmp,J1,1714142504.021063,1714142504.51745,left,"[['left', 341.1631296000005]]",1714142506.124155,1714142505.424027,None,None,None,1714142506.1323535,1.0,None
4,1,1,1,1,1,550,1,7,71,Squa6cw.bmp,J4,1714142506.7389905,1714142507.335466,left,"[['left', 343.8791749000002]]",1714142508.9431684,1714142508.24304,1714142508.9501498,"[['lctrl', 347.8591099000005]]",1714142511.806515,1714142512.3155143,1.0,None
5,1,1,2,0,0,450,1,4,68,squf5cw.bmp,I5,1714142512.9221194,1714142513.4223762,right,"[['right', 350.35612690000016]]",1714142515.0310762,1714142514.3309476,None,None,None,1714142515.0380576,0.0,None
6,1,2,2,0,0,550,2,52,180,octa3cw.bmp,I4,1714142515.645666,1714142516.2478325,right,"[['right', 352.9562470999999]]",1714142517.854242,1714142517.1551108,None,None,None,1714142517.863218,0.0,None
7,1,1,1,1,0,500,1,1,65,Squa4cw.bmp,J3,1714142518.4698381,1714142519.0159116,left,"[['left', 355.6071303000008]]",1714142520.6226165,1714142519.9224882,None,None,None,1714142520.6305957,1.0,None
8,1,1,2,1,0,600,1,2,66,sque2cw.bmp,I1,1714142521.2372155,1714142521.8820257,right,"[['right', 358.5161508000001]]",1714142523.488731,1714142522.7886026,None,None,None,1714142523.497707,1.0,None
9,1,2,2,0,1,400,2,58,186,octd6cw.bmp,I3,1714142524.1043415,1714142524.5510416,right,"[['right', 361.1251316000007]]",1714142526.1577468,1714142525.4576182,1714142526.1657255,"[['lctrl', 365.33016840000073]]",1714142529.2778535,1714142529.7865083,0.0,None
10,1,2,1,0,0,600,2,51,179,octb4.bmp,J2,1714142530.3931482,1714142531.0338137,left,"[['left', 367.8471532000003]]",1714142532.6400645,1714142531.939936,None,None,None,1714142532.659013,0.0,None
11,1,2,2,1,0,450,2,54,182,octe6cw.bmp,I3,1714142533.2664177,1714142533.7613041,right,"[['right', 370.2961449000004]]",1714142535.3680089,1714142534.6678808,None,None,None,1714142535.3739932,1.0,None
12,1,1,2,1,0,450,1,2,66,squf2cw.bmp,I1,1714142535.9820173,1714142536.47161,right,"[['left', 372.89819549999993]]",1714142538.0803452,1714142537.3802168,None,None,None,1714142538.0873268,0.0,None
13,1,1,1,0,0,600,1,3,67,Squb4cw.bmp,J4,1714142538.6949623,1714142539.333968,left,"[['left', 375.7941488000006]]",1714142540.940673,1714142540.2405448,None,None,None,1714142540.9486518,0.0,None
14,1,2,1,0,1,500,2,57,185,octe2cw.bmp,J1,1714142541.555272,1714142542.0978556,left,"[['left', 378.62914940000064]]",1714142543.7045617,1714142543.0044339,1714142543.713542,"[['lctrl', 384.09616240000014]]",1714142548.0439527,1714142548.5517638,0.0,None
15,1,2,2,0,0,400,2,52,180,octb3.bmp,I5,1714142549.1583827,1714142549.600177,right,"[['right', 386.2301576]]",1714142551.2068822,1714142550.5067537,None,None,None,1714142551.2148612,0.0,None
16,1,2,2,0,0,600,2,52,180,octb5.bmp,I4,1714142551.821492,1714142552.4658272,right,"[['right', 388.9131528000007]]",1714142554.0725894,1714142553.3724577,None,None,None,1714142554.0805671,0.0,None
17,1,1,1,1,0,600,1,1,65,Squb1cw.bmp,J5,1714142554.6872058,1714142555.328912,left,"[['left', 391.8431526000004]]",1714142556.9356172,1714142556.2354891,None,None,None,1714142556.9425988,1.0,None
18,1,2,1,0,0,550,2,51,179,octf6cw.bmp,J3,1714142557.549217,1714142558.1380165,left,"[['left', 394.49015620000046]]",1714142559.7467163,1714142559.046588,None,None,None,1714142559.7536976,0.0,None
19,1,2,2,0,1,450,2,58,186,octa1cw.bmp,I2,1714142560.3613038,1714142560.852249,right,"[['right', 397.3601679000003]]",1714142562.458954,1714142561.7588255,1714142562.4669328,"[['lctrl', 401.66814780000004]]",1714142565.6153193,1714142566.1239283,0.0,None
20,1,2,2,0,0,550,2,52,180,octf7cw.bmp,I3,1714142566.731553,1714142567.3231933,right,"[['right', 403.8662262000007]]",1714142568.9308958,1714142568.2307677,None,None,None,1714142568.9382117,0.0,None
21,1,1,1,1,0,500,1,1,65,Squb5cw.bmp,J2,1714142569.546848,1714142570.085512,left,"[['left', 406.6072514000007]]",1714142571.692217,1714142570.9930859,None,None,None,1714142571.6991985,1.0,None
22,1,2,1,0,1,600,2,57,185,octb8.bmp,J1,1714142572.3058045,1714142572.9509,left,"[['left', 409.5151919]]",1714142574.5573366,1714142573.8581831,1714142574.5653152,"[['lctrl', 412.89120660000026]]",1714142576.8382168,1714142577.3472478,0.0,None
23,1,1,2,1,0,600,1,2,66,Squd5cw.bmp,I1,1714142577.9536152,1714142578.5954847,right,"[['right', 415.08619570000064]]",1714142580.203187,1714142579.5030584,None,None,None,1714142580.2161527,1.0,None
24,1,1,1,1,0,450,1,1,65,sque8cw.bmp,J5,1714142580.822779,1714142581.314284,left,"[['left', 417.7451847000002]]",1714142582.920084,1714142582.220953,None,None,None,1714142582.9290595,1.0,None
25,1,1,2,1,0,450,1,2,66,Squa7cw.bmp,I5,1714142583.5356934,1714142584.0272384,right,"[['right', 420.5751805]]",1714142585.6339436,1714142584.933815,None,None,None,1714142585.6409252,1.0,None
26,1,2,2,0,0,500,2,52,180,octf8cw.bmp,I2,1714142586.247538,1714142586.7878108,right,"[['right', 423.2892002000008]]",1714142588.3965106,1714142587.6963823,None,None,None,1714142588.4034922,0.0,None
27,1,2,1,0,1,450,2,57,185,octf2cw.bmp,J3,1714142589.0110989,1714142589.504881,left,"[['left', 426.08019460000014]]",1714142591.1135807,1714142590.4134524,1714142591.120562,"[['lctrl', 429.0441587000005]]",1714142592.9913313,1714142593.4998646,0.0,None
