,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,1,1,0,400,1,1,65,octb3.bmp,S2,1717509068.4694648,1717509068.9176202,left,,1717509070.5372915,1717509069.8371627,None,None,None,1717509070.5482621,0.0,None
1,1,1,2,0,0,400,2,52,180,Squa4cw.bmp,M5,1717509071.1568797,1717509071.6016479,right,"[['right', 260.6952763000004]]",1717509073.2103484,1717509072.5102196,None,None,None,1717509073.220322,0.0,None
2,1,1,1,1,0,450,2,53,181,Squd6cw.bmp,S5,1717509073.8289514,1717509074.3270109,left,"[['left', 263.5142480000004]]",1717509075.937706,1717509075.2375772,None,None,None,1717509075.9466822,1.0,None
3,1,2,1,1,0,450,1,1,65,octb8.bmp,S1,1717509076.5562832,1717509077.0570786,left,"[['right', 266.00724290000016]]",1717509078.6647835,1717509077.9646544,None,None,None,1717509078.6747565,0.0,None
4,1,1,2,0,1,600,2,58,186,Squa5cw.bmp,M4,1717509079.2943318,1717509079.941868,right,"[['right', 268.9642265000002]]",1717509081.5505693,1717509080.8504431,1717509081.5605447,"[['lalt', 272.7122260000001]]",1717509084.2782564,1717509084.7908864,0.0,None
5,1,2,2,1,0,600,1,2,66,octb5.bmp,M2,1717509085.3995204,1717509086.053403,right,"[['right', 275.0043174000002]]",1717509087.6638691,1717509086.9637406,None,None,None,1717509087.6728456,1.0,None
6,1,2,1,1,1,600,1,7,71,octa3cw.bmp,S4,1717509088.282447,1717509088.933728,left,"[['left', 277.7442347000001]]",1717509090.5533993,1717509089.8532705,1717509090.5653672,"[['lctrl', 280.3391952000002]]",1717509091.9047875,1717509092.4176307,1.0,None
7,1,2,1,1,0,500,1,1,65,octb2cw.bmp,S3,1717509093.026229,1717509093.5744815,left,"[['left', 282.50426270000025]]",1717509095.186174,1717509094.4860451,None,None,None,1717509095.1954465,1.0,None
8,1,1,2,0,1,550,2,58,186,Squa1cw.bmp,M3,1717509095.8053648,1717509096.4049454,right,"[['right', 285.27123600000004]]",1717509098.0136456,1717509097.3145142,1717509098.02406,"[['lctrl', 287.5282492000001]]",1717509099.0941792,1717509099.60858,0.0,None
9,1,2,2,1,0,450,1,2,66,octa5cw.bmp,M1,1717509100.2281597,1717509100.727175,right,"[['right', 289.83428230000027]]",1717509102.3368745,1717509101.6367464,None,None,None,1717509102.344854,1.0,None
10,1,2,1,1,1,500,1,7,71,octd6cw.bmp,S2,1717509102.9634266,1717509103.5100584,left,"[['left', 292.4532962000003]]",1717509105.118759,1717509104.4186332,1717509105.1287324,"[['lctrl', 294.76824239999996]]",1717509106.3335125,1717509106.8461025,1.0,None
11,1,1,1,0,0,600,2,51,179,Squd4cw.bmp,S4,1717509107.4547043,1717509108.1021593,left,"[['left', 297.0403274]]",1717509109.714256,1717509109.0141265,None,None,None,1717509109.7222354,0.0,None
12,1,1,2,1,0,500,2,54,182,Squa2cw.bmp,M1,1717509110.3328223,1717509110.8751347,right,"[['right', 299.74926040000037]]",1717509112.4848325,1717509111.7847037,None,None,None,1717509112.4928114,1.0,None
13,1,1,1,0,1,400,2,57,185,Squd2cw.bmp,S1,1717509113.1024413,1717509113.5445185,left,"[['left', 302.3702540000004]]",1717509115.1532187,1717509114.45309,1717509115.1731658,"[['lctrl', 304.3923160000004]]",1717509115.9581828,1717509116.4915707,0.0,None
14,1,2,2,1,0,550,1,2,66,octe5cw.bmp,M4,1717509117.1031756,1717509117.7082713,right,"[['right', 306.6793554000001]]",1717509119.3199637,1717509118.6198351,None,None,None,1717509119.3289397,1.0,None
