,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,2,2,1,0,400,2,54,182,octf2cw.bmp,I5,1712582987.341505,1712582987.7924626,rshift,"[['lshift', 13.987223399999948]]",1712582988.492579,1712582988.5085363,None,None,None,1712582989.2261496,None
1,1,2,2,0,0,300,2,52,180,octe1cw.bmp,I2,1712582989.84274,1712582990.1932573,rshift,"[['lshift', 16.281231999999818]]",1712582990.8932376,1712582990.9101934,None,None,None,1712582991.6280658,None
2,1,2,1,0,0,300,2,51,179,octe5cw.bmp,S4,1712582992.2454913,1712582992.5957887,lshift,"[['lshift', 18.680764600000202]]",1712582993.2954354,1712582993.31239,None,None,None,1712582994.0302444,None
3,1,1,1,1,0,250,1,1,65,Squb6cw.bmp,S2,1712582994.6471872,1712582994.9470077,lshift,"[['lshift', 21.03198059999977]]",1712582995.6466389,1712582995.6640441,None,None,None,1712582996.3821704,None
4,1,1,2,1,1,300,1,8,72,Squb7cw.bmp,I1,1712582996.9987595,1712582997.3492515,rshift,"[['lshift', 23.434251199999835]]",1712582998.049448,1712582998.0664027,1712582998.7839959,"[['lctrl', 26.923286499999904]]",1712583001.8382456,1712583001.8526673,None
5,1,2,1,1,0,300,2,53,181,octb6.bmp,S3,1712583002.4703836,1712583002.8209019,lshift,"[['lshift', 28.906151600000157]]",1712583003.5212967,1712583003.5372996,None,None,None,1712583004.2547438,None
6,1,2,1,1,0,400,2,53,181,octb3.bmp,S5,1712583004.872339,1712583005.3219917,lshift,"[['lshift', 31.406971700000213]]",1712583006.021612,1712583006.0391614,None,None,None,1712583006.7565227,None
7,1,1,2,1,0,350,1,2,66,Squa4cw.bmp,I3,1712583007.3740945,1712583007.7745845,rshift,"[['lshift', 33.86013110000022]]",1712583008.4751246,1712583008.491082,None,None,None,1712583009.2086902,None
8,1,2,1,0,1,250,2,57,185,octf8cw.bmp,S1,1712583009.826269,1712583010.1280918,lshift,"[['lshift', 36.21328790000007]]",1712583010.8283558,1712583010.8439238,1712583011.5605242,"[['rctrl', 38.37429410000004]]",1712583013.2892628,1712583013.3122017,None
9,1,2,2,1,0,200,2,54,182,octa3cw.bmp,I4,None,None,None,None,None,None,None,None,None,None,None
10,1,2,2,0,0,350,2,52,180,octf4cw.bmp,I3,None,None,None,None,None,None,None,None,None,None,None
11,1,1,1,0,0,200,1,3,67,Squd7cw.bmp,S5,None,None,None,None,None,None,None,None,None,None,None
12,1,2,1,0,0,250,2,51,179,octe4cw.bmp,S4,None,None,None,None,None,None,None,None,None,None,None
13,1,1,2,1,1,350,1,8,72,sque8cw.bmp,I1,None,None,None,None,None,None,None,None,None,None,None
14,1,1,2,0,0,350,1,4,68,Squa2cw.bmp,I2,None,None,None,None,None,None,None,None,None,None,None
15,1,1,1,1,1,200,1,7,71,Squd3cw.bmp,S1,None,None,None,None,None,None,None,None,None,None,None
