,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1,2,1,0,0,600,1,3,67,octd8cw.bmp,J3,1717414952.2548509,1717414952.9000013,left,"[['left', 4021.616688]]",1717414954.508281,1717414953.808154,None,None,None,1717414954.5182543,0.0,None
1,1,2,2,0,0,400,1,4,68,octe1cw.bmp,I5,1717414955.1378706,1717414955.5752206,right,"[['right', 4024.2027173000006]]",1717414957.1859105,1717414956.485784,None,None,None,1717414957.194889,0.0,None
2,1,1,2,0,0,400,2,52,180,sque8cw.bmp,I2,1717414957.803498,1717414958.2401633,right,"[['right', 4026.9137047999993]]",1717414959.8513715,1717414959.1522424,None,None,None,1717414959.8603477,0.0,None
3,1,1,1,0,1,400,2,57,185,Squa7cw.bmp,J5,1717414960.4716997,1717414960.9109998,left,"[['left', 4029.4666806000005]]",1717414962.522687,1717414961.8225605,1717414962.5316632,"[['lalt', 4033.9166763999983]]",1717414965.8467927,1717414966.359758,0.0,None
4,1,1,2,0,0,450,2,52,180,sque7cw.bmp,I1,1717414966.968376,1717414967.459897,right,,1717414969.0685923,1717414968.368466,None,None,None,1717414969.0785658,0.0,None
5,1,2,2,1,0,500,1,2,66,octd6cw.bmp,I3,1717414969.7002413,1717414970.2458785,right,"[['right', 4039.1966458000006]]",1717414971.8535764,1717414971.15345,None,None,None,1717414971.8645473,1.0,None
6,1,2,1,1,0,400,1,1,65,octe5cw.bmp,J1,1717414972.473603,1717414972.9163065,left,,1717414974.5359724,1717414973.835846,None,None,None,1717414974.5481682,0.0,None
7,1,2,1,1,0,600,1,1,65,octf3cw.bmp,J4,1717414975.1567757,1717414975.798294,left,,1717414977.4069893,1717414976.7068627,None,None,None,1717414977.41796,0.0,None
8,1,1,2,0,1,500,2,58,186,sque6cw.bmp,I4,1717414978.0265687,1717414978.5680962,right,"[['left', 4046.943664299999]]",1717414980.175796,1717414979.476667,1717414980.187765,"[['lctrl', 4050.9376938000005]]",1717414982.867548,1717414983.3781557,0.0,None
9,1,2,1,0,0,450,1,3,67,octe2cw.bmp,J2,1717414983.9899824,1717414984.4775357,left,"[['left', 4053.927701999999]]",1717414986.0900817,1717414985.3900938,None,None,None,1717414986.0990076,0.0,None
10,1,2,2,0,0,550,1,4,68,octf8cw.bmp,I4,1717414986.7096367,1717414987.2973669,right,"[['right', 4055.956632700001]]",1717414988.9100513,1717414988.2099252,None,None,None,1717414988.9180303,0.0,None
11,1,1,1,0,0,550,2,51,179,Squb5cw.bmp,J3,1717414989.528655,1717414990.1201868,left,"[['right', 4058.6796104000005]]",1717414991.72988,1717414991.0297534,None,None,None,1717414991.7388604,0.0,None
12,1,1,2,1,0,600,2,54,182,squf7cw.bmp,I1,1717414992.3484461,1717414992.984978,right,"[['left', 4061.5657039999987]]",1717414994.5961266,1717414993.8969975,None,None,None,1717414994.6051025,0.0,None
13,1,2,1,1,1,600,1,7,71,octe4cw.bmp,J2,1717414995.2167003,1717414995.8519258,left,"[['left', 4064.5647077000012]]",1717414997.4705944,1717414996.770468,1717414997.4835598,"[['lalt', 4069.4286072000014]]",1717415001.3586066,1717415001.871868,1.0,None
14,1,2,2,1,0,550,1,2,66,octf2cw.bmp,I5,1717415002.4803946,1717415003.0719516,right,"[['right', 4071.7366347000006]]",1717415004.6816442,1717415003.9815178,None,None,None,1717415004.6916177,1.0,None
15,1,1,1,1,0,550,2,53,181,Squb1cw.bmp,J5,1717415005.3002512,1717415005.891911,left,"[['left', 4074.5435978000005]]",1717415007.5006294,1717415006.8004804,None,None,None,1717415007.5105798,1.0,None
16,1,1,2,0,1,550,2,58,186,sque3cw.bmp,I3,1717415008.1189373,1717415008.7122464,right,"[['right', 4077.3936247]]",1717415010.3229363,1717415009.6238072,1717415010.3319125,"[['lalt', 4080.9875678000008]]",1717415012.9174762,1717415013.4311316,0.0,None
17,1,2,2,1,0,500,1,2,66,octa8cw.bmp,I2,1717415014.039775,1717415014.5800843,right,"[['right', 4083.2025860000012]]",1717415016.1887796,1717415015.488653,None,None,None,1717415016.1997504,1.0,None
18,1,2,1,1,0,450,1,1,65,octb3.bmp,J4,1717415016.808366,1717415017.2988842,left,"[['left', 4085.9105604000015]]",1717415018.9071724,1717415018.208037,None,None,None,1717415018.9191365,1.0,None
19,1,2,1,1,0,450,1,1,65,octb5.bmp,J1,1717415019.528227,1717415020.017646,left,"[['left', 4088.710559100002]]",1717415021.6263645,1717415020.926215,None,None,None,1717415021.6382048,1.0,None
20,1,1,2,0,0,450,2,52,180,Squb7cw.bmp,I3,1717415022.2468119,1717415022.736348,right,"[['right', 4091.4265632000006]]",1717415024.3450432,1717415023.644917,None,None,None,1717415024.3570137,0.0,None
21,1,1,1,0,1,550,2,57,185,squf8cw.bmp,J3,1717415024.9656165,1717415025.5577004,left,"[['left', 4094.1755594000006]]",1717415027.1656506,1717415026.4655285,1717415027.1766212,"[['lctrl', 4096.656529900001]]",1717415028.585852,1717415029.0960314,0.0,None
22,1,1,1,0,0,500,2,51,179,squf2cw.bmp,J5,1717415029.7056358,1717415030.2470102,left,"[['left', 4098.888541099999]]",1717415031.8596048,1717415031.159477,None,None,None,1717415031.8675838,0.0,None
23,1,2,2,0,0,600,1,4,68,octe7cw.bmp,I4,1717415032.4792013,1717415033.1167579,right,"[['right', 4101.7205416000015]]",1717415034.7285864,1717415034.0284595,None,None,None,1717415034.7365646,0.0,None
24,1,2,2,1,1,600,1,8,72,octa6cw.bmp,I2,1717415035.3481383,1717415035.9854848,right,"[['right', 4104.820570000002]]",1717415037.5971725,1717415036.8980432,1717415037.6061482,"[['lctrl', 4108.442516199999]]",1717415040.3717482,1717415040.8861768,1.0,None
25,1,1,1,0,0,450,2,51,179,Squd7cw.bmp,J1,1717415041.4947796,1717415041.9853225,left,"[['left', 4110.562537299998]]",1717415043.5940177,1717415042.8938916,None,None,None,1717415043.6049886,0.0,None
26,1,1,1,1,0,500,2,53,181,Squa1cw.bmp,J4,1717415044.2135954,1717415044.7540808,left,"[['left', 4113.380524099999]]",1717415046.362776,1717415045.6626496,None,None,None,1717415046.3747444,1.0,None
27,1,2,2,0,0,450,1,4,68,octb7.bmp,I5,1717415046.9833422,1717415047.47608,right,"[['right', 4116.099513899999]]",1717415049.0957692,1717415048.3956194,None,None,None,1717415049.1077137,0.0,None
28,1,1,2,0,0,400,2,52,180,squf5cw.bmp,I1,1717415049.7167277,1717415050.1639638,right,"[['right', 4118.831574099999]]",1717415051.7766573,1717415051.076531,None,None,None,1717415051.7846363,0.0,None
29,1,1,1,0,1,500,2,57,185,Squd4cw.bmp,J2,1717415052.3957374,1717415052.931527,left,"[['left', 4122.062555800001]]",1717415054.550323,1717415053.850194,1717415054.5622885,"[['lctrl', 4123.516475499999]]",1717415055.445924,1717415055.9565258,0.0,None
30,1,1,2,1,0,500,2,54,182,Squd3cw.bmp,I1,1717415056.5661268,1717415057.1036413,right,"[['right', 4126.1794928]]",1717415058.7153518,1717415058.0152023,None,None,None,1717415058.724305,1.0,None
31,1,2,2,1,0,400,1,2,66,octb2cw.bmp,I3,1717415059.3349185,1717415059.7714484,right,"[['right', 4128.3204916999985]]",1717415061.3841329,1717415060.6840065,None,None,None,1717415061.3921115,1.0,None
32,1,2,1,0,0,400,1,3,67,octa1cw.bmp,J1,1717415062.0037203,1717415062.4426334,left,"[['right', 4131.037577699999]]",1717415064.0543206,1717415063.3541942,None,None,None,1717415064.0622995,0.0,None
33,1,2,1,0,0,550,1,3,67,octd5cw.bmp,J3,1717415064.6729298,1717415065.2648842,left,"[['left', 4133.982466200001]]",1717415066.8745768,1717415066.1744504,None,None,None,1717415066.883553,0.0,None
34,1,1,2,0,1,450,2,58,186,Squd5cw.bmp,I2,1717415067.4921665,1717415067.9777029,right,"[['right', 4136.587507300001]]",1717415069.5893886,1717415068.8892612,1717415069.5983644,"[['lctrl', 4138.647454700002]]",1717415070.576746,1717415071.0977433,0.0,None
35,1,2,2,1,0,400,1,2,66,octa3cw.bmp,I4,1717415071.7093704,1717415072.146552,right,"[['right', 4140.843469900001]]",1717415073.766218,1717415073.0660915,None,None,None,1717415073.778186,1.0,None
36,1,1,1,1,0,400,2,53,181,Squa8cw.bmp,J4,1717415074.3867936,1717415074.824841,left,"[['right', 4143.367516100001]]",1717415076.4334207,1717415075.733295,None,None,None,1717415076.444392,0.0,None
37,1,2,2,1,1,450,1,8,72,octa5cw.bmp,I5,1717415077.0530221,1717415077.5406117,right,"[['right', 4146.1624632]]",1717415079.1511023,1717415078.4509757,1717415079.1711206,"[['lalt', 4150.4384414]]",1717415082.368336,1717415082.8793054,1.0,None
38,1,1,1,0,0,600,2,51,179,Squd2cw.bmp,J2,1717415083.4889207,1717415084.1304374,left,"[['left', 4152.7074171]]",1717415085.74013,1717415085.0400035,None,None,None,1717415085.7590795,0.0,None
39,1,1,1,1,0,450,2,53,181,squf4cw.bmp,J5,1717415086.370674,1717415086.8585303,left,"[['left', 4155.476497500002]]",1717415088.4662282,1717415087.7661018,None,None,None,1717415088.4762018,1.0,None
40,1,2,2,1,0,550,1,2,66,octb1.bmp,I4,1717415089.0838387,1717415089.6750028,right,"[['right', 4158.344443100001]]",1717415091.2836983,1717415090.5835717,None,None,None,1717415091.2946692,1.0,None
41,1,2,1,1,0,500,1,1,65,octa7cw.bmp,J4,1717415091.903317,1717415092.4439628,left,"[['left', 4161.1914122]]",1717415094.052658,1717415093.3525336,None,None,None,1717415094.0636292,1.0,None
42,1,2,1,1,1,400,1,7,71,octf4cw.bmp,J2,1717415094.6722627,1717415095.1117935,left,"[['left', 4163.737440800001]]",1717415096.7204843,1717415096.0203588,1717415096.7314553,"[['lctrl', 4165.751406099998]]",1717415097.6809144,1717415098.1910312,1.0,None
43,1,1,2,0,0,550,2,52,180,Squa2cw.bmp,I1,1717415098.8009472,1717415099.3888857,right,"[['right', 4168.095428800001]]",1717415101.000573,1717415100.3004465,None,None,None,1717415101.0095491,0.0,None
44,1,1,1,0,0,400,2,51,179,Squb6cw.bmp,J5,1717415101.619157,1717415102.0606902,left,"[['left', 4170.639428600001]]",1717415103.6701856,1717415102.9710565,None,None,None,1717415103.6791613,0.0,None
45,1,1,1,0,0,600,2,51,179,squf6cw.bmp,J1,1717415104.2887907,1717415104.92463,left,"[['left', 4173.4703967000005]]",1717415106.5363173,1717415105.836191,None,None,None,1717415106.5452936,0.0,None
46,1,2,2,1,1,550,1,8,72,octd1cw.bmp,I5,1717415107.1568935,1717415107.744423,right,"[['right', 4176.3094545]]",1717415109.3561113,1717415108.6569812,1717415109.365087,"[['lalt', 4180.2874417]]",1717415112.2177763,1717415112.7284317,1.0,None
47,1,1,1,1,0,600,2,53,181,sque2cw.bmp,J3,1717415113.3370676,1717415113.978622,left,"[['left', 4182.6093762]]",1717415115.5873399,1717415114.887201,None,None,None,1717415115.5972908,1.0,None
48,1,2,1,0,0,500,1,3,67,octf7cw.bmp,J1,1717415116.2057793,1717415116.746311,left,"[['left', 4185.356421499999]]",1717415118.3550062,1717415117.65488,None,None,None,1717415118.365977,0.0,None
49,1,2,2,1,0,450,1,2,66,octd2cw.bmp,I3,1717415118.9749098,1717415119.4681623,right,"[['right', 4188.0964601]]",1717415121.0868309,1717415120.3867044,None,None,None,1717415121.098799,1.0,None
50,1,1,2,1,0,450,2,54,182,Squa3cw.bmp,I2,1717415121.7074146,1717415122.1939285,right,"[['right', 4190.880334700001]]",1717415123.8036213,1717415123.1034942,None,None,None,1717415123.8115997,1.0,None
51,1,2,1,1,1,550,1,7,71,octb6.bmp,J2,1717415124.421217,1717415125.0102806,left,"[['right', 4193.566334000001]]",1717415126.621968,1717415125.9218416,1717415126.6309443,"[['lalt', 4195.685322300002]]",1717415127.6152525,1717415128.1258757,0.0,None
52,1,1,2,0,0,600,2,52,180,Squb3cw.bmp,I1,1717415128.7364874,1717415129.3750858,right,"[['right', 4198.099423500002]]",1717415130.984629,1717415130.2845025,None,None,None,1717415130.9936051,0.0,None
53,1,1,1,0,0,550,2,51,179,Squd6cw.bmp,J5,1717415131.6022038,1717415132.1936295,left,"[['left', 4200.830332300002]]",1717415133.8023272,1717415133.1022003,None,None,None,1717415133.8123007,0.0,None
54,1,2,1,1,1,450,1,7,71,octb4.bmp,J4,1717415134.4209857,1717415134.9123678,left,"[['left', 4203.5593121]]",1717415136.521087,1717415135.8209367,1717415136.5310366,"[['lctrl', 4206.2662956]]",1717415138.1956055,1717415138.705818,1.0,None
55,1,2,2,1,0,450,1,2,66,octd3cw.bmp,I5,1717415139.316458,1717415139.8075318,right,"[['right', 4208.447330699999]]",1717415141.4173036,1717415140.718095,None,None,None,1717415141.4262788,1.0,None
56,1,2,1,1,0,550,1,1,65,octe6cw.bmp,J3,1717415142.03589,1717415142.6234455,left,"[['left', 4211.333341399999]]",1717415144.2341354,1717415143.5350063,None,None,None,1717415144.2431107,1.0,None
57,1,1,2,0,0,500,2,52,180,Squb2cw.bmp,I2,1717415144.8543074,1717415145.3913088,right,"[['right', 4214.0003137]]",1717415147.0039935,1717415146.303867,None,None,None,1717415147.0119724,0.0,None
58,1,2,1,1,0,400,1,1,65,octf5cw.bmp,J1,1717415147.622581,1717415148.0601075,left,"[['left', 4216.6973829]]",1717415149.672241,1717415148.9721143,None,None,None,1717415149.6812172,1.0,None
59,1,1,2,0,1,600,2,58,186,sque5cw.bmp,I4,1717415150.291829,1717415150.9296584,right,"[['left', 4219.451331099999]]",1717415152.540348,1717415151.8412192,1717415152.5503302,"[['lalt', 4222.1123001]]",1717415154.042191,1717415154.5522213,0.0,None
60,1,1,2,1,0,550,2,54,182,Squd1cw.bmp,I3,1717415155.1624408,1717415155.755047,right,"[['right', 4224.392293899999]]",1717415157.36474,1717415156.6646135,None,None,None,1717415157.3836892,1.0,None
61,1,2,1,1,0,550,1,1,65,octb8.bmp,J2,1717415157.9952927,1717415158.582394,left,"[['left', 4227.2383168]]",1717415160.1910892,1717415159.4909627,None,None,None,1717415160.2010627,1.0,None
62,1,1,1,0,1,600,2,57,185,Squb4cw.bmp,J4,1717415160.8196385,1717415161.4573374,left,"[['left', 4230.145296100001]]",1717415163.0680275,1717415162.3679008,1717415163.087974,"[['lalt', 4234.134254800001]]",1717415166.0642,1717415166.5751767,0.0,None
63,1,2,2,1,0,600,1,2,66,octd7cw.bmp,I3,1717415167.1868014,1717415167.8236992,right,"[['right', 4236.573250899999]]",1717415169.4343894,1717415168.7342627,None,None,None,1717415169.4433653,1.0,None
64,1,1,2,0,0,600,2,52,180,Squa6cw.bmp,I2,1717415170.0549438,1717415170.6936333,right,"[['left', 4239.2673352]]",1717415172.3030894,1717415171.6039605,None,None,None,1717415172.3120658,0.0,None
